"Name","Month","Last","High","Low","Chg.","Chg. %","Time"
"Dollar Index","Mar 25","107.93","108.19","107.21","0.38","0.35%","07/02"
"GBP Futures","Mar 25","1.2412","1.2497","1.2376","0.00","0.00%","07/02"
"CAD Futures","Mar 25","0.7012","0.7017","0.6982","0.00","0.00%","07/02"
"CHF Futures","Mar 25","1.1044","1.1098","1.1026","0.00","0.00%","07/02"
"EUR Futures","Mar 25","1.035","1.044","1.0322","0.00","0.00%","07/02"
"AUD Futures","Mar 25","0.6275","0.6309","0.6255","0.00","0.00%","07/02"
"NZD Futures","Mar 25","0.5662","0.5699","0.5644","0.00","0.00%","07/02"
"Bitcoin Futures","Feb 25","95,990.00","95,990.00","95,990.00","-1,125.00","-1.16%","07/02"
"JPY Futures","Feb 25","0.006612","0.006618","0.006574","0.00","0.00%","07/02"
"MXN Futures","Feb 25","0.04863","0.04863","0.04863","0.00","0.00%","07/02"
"Ether Futures","Feb 25","2,592.00","2,592.00","2,592.00","-130.25","-4.78%","07/02"
"INR Futures","Jan 25","116.59","116.59","116.33","0.00","0.00%","31/12"